,Name,Link
0,Choi Min-sik,/name/nm0158856/?ref_=tt_ov_st
1,Mélissa Désormeaux-Poulin,/name/nm0246386/?ref_=tt_ov_st
2,Marilyn Monroe,/name/nm0000054/?ref_=tt_ov_st
3,Lionel Barrymore,/name/nm0000859/?ref_=tt_ov_st
4,Gary Lockwood,/name/nm0516972/?ref_=tt_ov_st
5,Ingrid Thulin,/name/nm0862026/?ref_=tt_ov_st
6,Eugene Silvain,/name/nm0798564/?ref_=tt_ov_st
7,Erich von Stroheim,/name/nm0002233/?ref_=tt_ov_st
8,Benedict Cumberbatch,/name/nm1212722/?ref_=tt_ov_st
9,William Holden,/name/nm0000034/?ref_=tt_ov_st
10,Wilford Brimley,/name/nm0000979/?ref_=tt_ov_st
11,Sophie Marceau,/name/nm0000521/?ref_=tt_ov_st
12,Robert Stack,/name/nm0821041/?ref_=tt_ov_st
13,Henry Bergman,/name/nm0074788/?ref_=tt_ov_st
14,Zazie Beetz,/name/nm5939164/?ref_=tt_ov_st
15,Robin Williams,/name/nm0000245/?ref_=tt_ov_st
16,Nicoletta Braschi,/name/nm0000971/?ref_=tt_ov_st
17,Daniel Radcliffe,/name/nm0705356/?ref_=tt_ov_st
18,Richard Dreyfuss,/name/nm0000377/?ref_=tt_ov_st
19,Robert Duvall,/name/nm0000380/?ref_=tt_ov_st
20,Edward Furlong,/name/nm0000411/?ref_=tt_ov_st
21,Elizabeth McGovern,/name/nm0001527/?ref_=tt_ov_st
22,Guy Pearce,/name/nm0001602/?ref_=tt_ov_st
23,Harrison Ford,/name/nm0000148/?ref_=tt_ov_st
24,Tatsuya Gashûin,/name/nm0309107/?ref_=tt_ov_st
25,Tigmanshu Dhulia,/name/nm0223606/?ref_=tt_ov_st
26,Dexter Fletcher,/name/nm0002077/?ref_=tt_ov_st
27,Robin Wright,/name/nm0000705/?ref_=tt_ov_st
28,Carrie Fisher,/name/nm0000402/?ref_=tt_ov_st
29,Miyu Irino,/name/nm0997115/?ref_=tt_ov_st
30,Ed Harris,/name/nm0000438/?ref_=tt_ov_st
31,Richard Attenborough,/name/nm0000277/?ref_=tt_ov_st
32,Gerard Butler,/name/nm0124930/?ref_=tt_ov_st
33,Jonah Hill,/name/nm1706767/?ref_=tt_ov_st
34,Gene Kelly,/name/nm0000037/?ref_=tt_ov_st
35,Orlando Bloom,/name/nm0089217/?ref_=tt_ov_st
36,Neil Patrick Harris,/name/nm0000439/?ref_=tt_ov_st
37,Holly Hunter,/name/nm0000456/?ref_=tt_ov_st
38,Connie Nielsen,/name/nm0001567/?ref_=tt_ov_st
39,Peter O'Toole,/name/nm0000564/?ref_=tt_ov_st
40,Nick Nolte,/name/nm0000560/?ref_=tt_ov_st
41,Leandro Firmino,/name/nm1129884/?ref_=tt_ov_st
42,Claudette Colbert,/name/nm0001055/?ref_=tt_ov_st
43,Diane Kruger,/name/nm1208167/?ref_=tt_ov_st
44,Roy Scheider,/name/nm0001702/?ref_=tt_ov_st
45,Victor Sjöström,/name/nm0803705/?ref_=tt_ov_st
46,Margot Robbie,/name/nm3053338/?ref_=tt_ov_st
47,Sam Worthington,/name/nm0941777/?ref_=tt_ov_st
48,Darsheel Safary,/name/nm2594301/?ref_=tt_ov_st
