,Name,Link
0,Gore Verbinski,/name/nm0893659/?ref_=tt_ov_dr
1,Milos Forman,/name/nm0001232/?ref_=tt_ov_dr
2,Damián Szifron,/name/nm1167933/?ref_=tt_ov_dr
3,Clyde Bruckman,/name/nm0115669/?ref_=tt_ov_dr
4,George Miller,/name/nm0004306/?ref_=tt_ov_dr
5,Wes Anderson,/name/nm0027572/?ref_=tt_ov_dr
6,Stanley Kubrick,/name/nm0000040/?ref_=tt_ov_dr
7,Quentin Tarantino,/name/nm0000233/?ref_=tt_ov_dr
8,Sam Mendes,/name/nm0005222/?ref_=tt_ov_dr
9,Lenny Abrahamson,/name/nm1049433/?ref_=tt_ov_dr
10,Gillo Pontecorvo,/name/nm0690597/?ref_=tt_ov_dr
11,Juan José Campanella,/name/nm0002728/?ref_=tt_ov_dr
12,Darren Aronofsky,/name/nm0004716/?ref_=tt_ov_dr
13,David Yates,/name/nm0946734/?ref_=tt_ov_dr
14,George Roy Hill,/name/nm0001351/?ref_=tt_ov_dr
15,Tom McCarthy,/name/nm0565336/?ref_=tt_ov_dr
16,Haruo Sotozaki,/name/nm1417038/?ref_=tt_ov_dr
17,Jonathan Demme,/name/nm0001129/?ref_=tt_ov_dr
18,Anurag Kashyap,/name/nm0440604/?ref_=tt_ov_dr
19,Sergio Pablos,/name/nm0655053/?ref_=tt_ov_dr
20,Wolfgang Petersen,/name/nm0000583/?ref_=tt_ov_dr
21,Stuart Rosenberg,/name/nm0742341/?ref_=tt_ov_dr
22,Martin Scorsese,/name/nm0000217/?ref_=tt_ov_dr
23,Nitesh Tiwari,/name/nm4318159/?ref_=tt_ov_dr
24,Ethan Coen,/name/nm0001053/?ref_=tt_ov_dr
25,David Lynch,/name/nm0000186/?ref_=tt_ov_dr
26,Richard Linklater,/name/nm0000500/?ref_=tt_ov_dr
27,John G. Avildsen,/name/nm0000814/?ref_=tt_ov_dr
28,Vittorio De Sica,/name/nm0001120/?ref_=tt_ov_dr
29,Roberto Benigni,/name/nm0000905/?ref_=tt_ov_dr
30,Elem Klimov,/name/nm0459552/?ref_=tt_ov_dr
31,Todd Phillips,/name/nm0680846/?ref_=tt_ov_dr
32,Ridley Scott,/name/nm0000631/?ref_=tt_ov_dr
33,Gus Van Sant,/name/nm0001814/?ref_=tt_ov_dr
34,Sean Penn,/name/nm0000576/?ref_=tt_ov_dr
35,Anthony Russo,/name/nm0751577/?ref_=tt_ov_dr
36,Michael Mann,/name/nm0000520/?ref_=tt_ov_dr
37,Terry George,/name/nm0313623/?ref_=tt_ov_dr
38,David Lean,/name/nm0000180/?ref_=tt_ov_dr
39,Elia Kazan,/name/nm0001415/?ref_=tt_ov_dr
40,Lasse Hallström,/name/nm0002120/?ref_=tt_ov_dr
41,William Friedkin,/name/nm0001243/?ref_=tt_ov_dr
42,Damien Chazelle,/name/nm3227090/?ref_=tt_ov_dr
43,Sidney Lumet,/name/nm0001486/?ref_=tt_ov_dr
44,Ernst Lubitsch,/name/nm0523932/?ref_=tt_ov_dr
45,Steve McQueen,/name/nm2588606/?ref_=tt_ov_dr
46,Peter Jackson,/name/nm0001392/?ref_=tt_ov_dr
47,Bryan Singer,/name/nm0001741/?ref_=tt_ov_dr
48,Roger Allers,/name/nm0021249/?ref_=tt_ov_dr
49,Fritz Lang,/name/nm0000485/?ref_=tt_ov_dr
50,Terry Gilliam,/name/nm0000416/?ref_=tt_ov_dr
51,Gavin O'Connor,/name/nm0640334/?ref_=tt_ov_dr
52,Harold Ramis,/name/nm0000601/?ref_=tt_ov_dr
53,T.J. Gnanavel,/name/nm4377096/?ref_=tt_ov_dr
54,Curtis Hanson,/name/nm0000436/?ref_=tt_ov_dr
55,Florian Zeller,/name/nm1725469/?ref_=tt_ov_dr
56,Bob Persichetti,/name/nm2130108/?ref_=tt_ov_dr
57,Joaquim Dos Santos,/name/nm1690966/?ref_=tt_ov_dr
58,Oliver Hirschbiegel,/name/nm0386570/?ref_=tt_ov_dr
59,Carl Theodor Dreyer,/name/nm0003433/?ref_=tt_ov_dr
60,Henri-Georges Clouzot,/name/nm0167241/?ref_=tt_ov_dr
61,Orson Welles,/name/nm0000080/?ref_=tt_ov_dr
62,Peter Weir,/name/nm0001837/?ref_=tt_ov_dr
63,Pete Docter,/name/nm0230032/?ref_=tt_ov_dr
64,Vidhu Vinod Chopra,/name/nm0006765/?ref_=tt_ov_dr
