,Name,Link
0,Ben Affleck,/name/nm0000255/?ref_=tt_cl_wr_2
1,Lee Unkrich,/name/nm0881279/?ref_=tt_cl_wr_1
2,Park Chan-wook,/name/nm0661791/?ref_=tt_cl_wr_3
3,Sergio Leone,/name/nm0001466/?ref_=tt_cl_wr_1
4,Uma Thurman,/name/nm0000235/?ref_=tt_cl_wr_2
5,Sarah Waters,/name/nm1258797/?ref_=tt_cl_wr_1
6,Akhilesh Jaiswal,/name/nm4556524/?ref_=tt_cl_wr_1
7,Michael Wilson,/name/nm0933858/?ref_=tt_cl_wr_2
8,Eric Idle,/name/nm0001385/?ref_=tt_cl_wr_3
9,Oreste Biancoli,/name/nm0080755/?ref_=tt_cl_wr_3
10,Horton Foote,/name/nm0285210/?ref_=tt_cl_wr_2
11,Stan Lee,/name/nm0498278/?ref_=tt_cl_wr_3
12,Robert Towne,/name/nm0001801/?ref_=tt_cl_wr_1
13,Terence Winter,/name/nm1010540/?ref_=tt_cl_wr_1
14,Stanley Kubrick,/name/nm0000040/?ref_=tt_cl_wr_1
15,Jim Uhls,/name/nm0880243/?ref_=tt_cl_wr_2
16,Michael Mann,/name/nm0000520/?ref_=tt_cl_wr_1
17,Bob Gale,/name/nm0301826/?ref_=tt_cl_wr_2
18,Scott Silver,/name/nm0798788/?ref_=tt_cl_wr_2
19,Robert Siodmak,/name/nm0802563/?ref_=tt_cl_wr_3
20,David McKenna,/name/nm0571346/?ref_=tt_cl_wr_1
21,James Clavell,/name/nm0165412/?ref_=tt_cl_wr_2
22,Yasuhiko Takiguchi,/name/nm0847668/?ref_=tt_cl_wr_1
23,Oliver Stone,/name/nm0000231/?ref_=tt_cl_wr_1
24,Frank Pierson,/name/nm0682757/?ref_=tt_cl_wr_2
25,Hampton Fancher,/name/nm0266684/?ref_=tt_cl_wr_1
26,Sylvia Nasar,/name/nm0621586/?ref_=tt_cl_wr_2
27,Christopher Nolan,/name/nm0634240/?ref_=tt_cl_wr_2
28,Hayao Miyazaki,/name/nm0594503/?ref_=tt_cl_wr_1
29,Fritz Lang,/name/nm0000485/?ref_=tt_cl_wr_2
30,John Huston,/name/nm0001379/?ref_=tt_cl_wr_1
31,Linda Woolverton,/name/nm0941314/?ref_=tt_cl_wr_3
32,Brad Bird,/name/nm0083348/?ref_=tt_cl_wr_2
33,James Cameron,/name/nm0000116/?ref_=tt_cl_wr_1
34,Joseph A. Mitchell,/name/nm0593477/?ref_=tt_cl_wr_2
35,Robert Zemeckis,/name/nm0000709/?ref_=tt_cl_wr_1
36,Han Jin-won,/name/nm8243301/?ref_=tt_cl_wr_2
37,Jeethu Joseph,/name/nm2572228/?ref_=tt_cl_wr_1
38,Leigh Brackett,/name/nm0102824/?ref_=tt_cl_wr_1
39,Jonathan Nolan,/name/nm0634300/?ref_=tt_cl_wr_1
40,William Monahan,/name/nm1184258/?ref_=tt_cl_wr_1
41,Harry Carr,/name/nm0139714/?ref_=tt_cl_wr_2
42,Jim Thompson,/name/nm0860292/?ref_=tt_cl_wr_3
43,Bob Peterson,/name/nm0677037/?ref_=tt_cl_wr_2
44,Sidney Howard,/name/nm0397608/?ref_=tt_cl_wr_2
45,Guillaume Laurant,/name/nm0491011/?ref_=tt_cl_wr_1
46,Dave Johannson,/name/nm3164738/?ref_=tt_cl_wr_2
47,Ted Elliott,/name/nm0254645/?ref_=tt_cl_wr_3
